DateTime,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Date,Time
2020-01-11 23:59:00,8022.67,8022.67,8016.22,8016.22,7.40301947,59359.685901,8018.3074139,2020-01-11,23:59:00
2020-01-12 23:59:00,8178.99,8182.2,8174.27,8180.76,3.88453012,31770.265132,8178.6636093,2020-01-12,23:59:00
2020-01-13 23:59:00,8100.1,8105.01,8100.1,8105.01,3.29774834,26720.764331,8102.729977,2020-01-13,23:59:00
2020-01-14 23:59:00,8831.46,8844.98,8813.04,8813.04,5.8169835,51410.010492,8837.9158188,2020-01-14,23:59:00
2020-01-15 23:59:00,8812.17,8817.7,8806.7,8809.17,0.7143234,6292.179766699999,8808.5869323,2020-01-15,23:59:00
2020-01-16 23:59:00,8721.61,8725.4,8710.15,8710.15,1.84514355,16093.893296,8722.2987587,2020-01-16,23:59:00
2020-01-17 23:59:00,8898.52,8898.52,8892.63,8892.63,0.30326821,2698.0103235,8896.4495273,2020-01-17,23:59:00
2020-01-18 23:59:00,8910.0,8915.86,8908.53,8908.53,3.12070179,27801.796114999997,8908.8282014,2020-01-18,23:59:00
2020-01-19 23:59:00,8696.69,8702.95,8696.6,8696.6,0.06642529,577.69453609,8696.906495899999,2020-01-19,23:59:00
2020-01-20 23:59:00,8623.96,8630.52,8623.96,8625.17,0.31768464,2740.2893120999997,8625.8161933,2020-01-20,23:59:00
2020-01-21 23:59:00,8727.23,8727.23,8717.89,8717.89,0.08220526,717.12147526,8723.547316299999,2020-01-21,23:59:00
2020-01-22 23:59:00,8660.32,8660.83,8655.93,8655.93,0.08507513,736.5853896000001,8658.0577614,2020-01-22,23:59:00
2020-01-23 23:59:00,8383.12,8383.12,8378.44,8378.44,0.24556176,2057.9926403,8380.7537472,2020-01-23,23:59:00
2020-01-24 23:59:00,8436.03,8436.03,8422.1,8422.13,0.08030452,676.86164283,8428.686739300001,2020-01-24,23:59:00
2020-01-25 23:59:00,8330.0,8330.0,8318.84,8329.5,0.52415335,4366.093411100001,8329.8015955,2020-01-25,23:59:00
2020-01-26 23:59:00,8583.74,8599.66,8583.74,8590.48,0.15609778,1340.7261564,8589.0148882,2020-01-26,23:59:00
2020-01-27 23:59:00,8901.64,8901.64,8894.54,8894.54,0.93726549,8336.6644095,8894.666984399999,2020-01-27,23:59:00
2020-01-28 23:59:00,9398.12,9400.0,9376.34,9400.0,90.07815379,846593.40025,9398.4319686,2020-01-28,23:59:00
2020-01-29 23:59:00,9272.65,9289.18,9272.65,9289.18,0.03366865,312.43854930000003,9279.806267799999,2020-01-29,23:59:00
2020-01-30 23:59:00,9511.82,9513.6,9498.34,9500.0,1.01948322,9689.1907775,9504.0218293,2020-01-30,23:59:00
2020-01-31 23:59:00,9338.33,9339.26,9323.58,9327.85,0.05748381,536.46886769,9332.521064499999,2020-01-31,23:59:00
2020-02-01 23:59:00,9379.6,9379.6,9377.17,9377.17,0.08916628,836.26048101,9378.662887,2020-02-01,23:59:00
2020-02-02 23:59:00,9313.08,9330.0,9308.43,9329.39,2.6920900000000003,25106.819249,9326.144092100001,2020-02-02,23:59:00
2020-02-03 23:59:00,9285.71,9292.2,9281.0,9288.09,0.19794562,1838.4856852000003,9287.832108499999,2020-02-03,23:59:00
2020-02-04 23:59:00,9168.81,9168.81,9159.27,9159.37,0.05193236,476.04917389,9166.7155872,2020-02-04,23:59:00
2020-02-05 23:59:00,9618.73,9619.0,9612.48,9618.42,5.09189336,48960.8913,9615.4588948,2020-02-05,23:59:00
2020-02-06 23:59:00,9752.66,9759.0,9752.66,9754.63,0.10104589,985.70937817,9755.066516500001,2020-02-06,23:59:00
2020-02-07 23:59:00,9811.25,9814.52,9803.42,9803.42,8.18084669,80264.232252,9811.2377964,2020-02-07,23:59:00
2020-02-08 23:59:00,9902.0,9911.12,9902.0,9902.0,0.3935362,3899.8796603,9909.8371644,2020-02-08,23:59:00
2020-02-09 23:59:00,10163.89,10174.62,10158.81,10173.97,1.93986208,19727.7551,10169.668918000001,2020-02-09,23:59:00
2020-02-10 23:59:00,9856.95,9863.79,9850.01,9850.01,7.99531748,78777.255571,9852.9240106,2020-02-10,23:59:00
2020-02-11 23:59:00,10271.23,10282.54,10267.73,10268.98,1.61599767,16599.024842,10271.688599,2020-02-11,23:59:00
2020-02-12 23:59:00,10345.77,10352.18,10345.77,10348.78,0.27745615,2870.8561441,10347.062569,2020-02-12,23:59:00
2020-02-13 23:59:00,10238.54,10248.99,10228.67,10228.67,3.02786077,30997.923812,10237.565782,2020-02-13,23:59:00
2020-02-14 23:59:00,10370.58,10373.75,10362.41,10364.04,5.55505308,57613.81716900001,10371.425140000001,2020-02-14,23:59:00
2020-02-15 23:59:00,9908.72,9908.73,9898.88,9899.78,0.21807614,2159.9574540999997,9904.602374700002,2020-02-15,23:59:00
2020-02-16 23:59:00,9935.87,9949.32,9912.88,9912.89,109.41299151,1085546.1886,9921.5474653,2020-02-16,23:59:00
2020-02-17 23:59:00,9696.71,9707.56,9696.71,9697.15,1.58867783,15421.28144,9706.9910265,2020-02-17,23:59:00
2020-02-18 23:59:00,10181.33,10190.34,10179.83,10185.17,2.8543779,29083.496874,10189.084239,2020-02-18,23:59:00
2020-02-19 23:59:00,9612.38,9616.53,9595.72,9595.72,11.998783099999999,115214.59228,9602.1897654,2020-02-19,23:59:00
2020-02-20 23:59:00,9602.18,9615.69,9599.91,9612.76,5.18464811,49796.519775,9604.609361799998,2020-02-20,23:59:00
2020-02-21 23:59:00,9690.22,9696.13,9690.12,9696.13,0.25294794,2451.4998728,9691.717089200001,2020-02-21,23:59:00
2020-02-22 23:59:00,9667.43,9668.2,9661.46,9668.13,0.07485341,723.50940535,9665.6839729,2020-02-22,23:59:00
2020-02-23 23:59:00,9985.07,9985.07,9965.21,9965.21,29.63803035,295840.1299,9981.774308600001,2020-02-23,23:59:00
2020-02-24 23:59:00,9656.62,9667.54,9652.58,9652.58,0.25383264,2453.3902200999996,9665.3851139,2020-02-24,23:59:00
2020-02-25 23:59:00,9310.06,9310.06,9303.98,9305.4,0.37549141,3493.970643,9305.061447299999,2020-02-25,23:59:00
2020-02-26 23:59:00,8779.46,8789.64,8778.88,8779.36,0.19939932,1750.758449,8780.162585200002,2020-02-26,23:59:00
2020-02-27 23:59:00,8794.3,8816.5,8794.17,8816.5,4.33630484,38219.579947000006,8813.8591168,2020-02-27,23:59:00
2020-02-28 23:59:00,8713.17,8718.56,8703.2,8703.84,0.22040517,1919.6255757,8709.5306145,2020-02-28,23:59:00
2020-02-29 23:59:00,8536.12,8536.73,8525.0,8527.74,13.86721723,118259.14517,8527.965142899999,2020-02-29,23:59:00
2020-03-01 23:59:00,8528.21,8538.41,8524.0,8528.95,0.31209778,2661.1800786,8526.7510668,2020-03-01,23:59:00
2020-03-02 23:59:00,8909.24,8917.34,8909.24,8917.34,1.28743975,11475.215448,8913.205800799999,2020-03-02,23:59:00
2020-03-03 23:59:00,8755.45,8755.45,8752.33,8755.45,0.08782446,768.81790098,8754.029355600002,2020-03-03,23:59:00
2020-03-04 23:59:00,8760.0,8762.18,8753.28,8753.28,0.40672284,3563.2022349,8760.762574600001,2020-03-04,23:59:00
2020-03-05 23:59:00,9066.65,9066.65,9066.65,9066.65,0.00626846,56.833932858999994,9066.65,2020-03-05,23:59:00
2020-03-06 23:59:00,9153.76,9159.76,9153.68,9153.79,0.39604491,3627.4205672,9159.1142205,2020-03-06,23:59:00
2020-03-07 23:59:00,8894.78,8901.12,8893.6,8893.93,0.04766008,424.01335329,8896.6143844,2020-03-07,23:59:00
2020-03-08 23:59:00,8023.66,8046.94,8023.66,8033.7,24.48893242,196643.73002000002,8029.9021065,2020-03-08,23:59:00
2020-03-09 23:59:00,7931.35,7937.23,7927.98,7936.25,1.52112961,12072.851848,7936.7673661,2020-03-09,23:59:00
2020-03-10 23:59:00,7887.36,7887.36,7882.07,7885.92,0.16844553,1328.2325502,7885.2347713,2020-03-10,23:59:00
2020-03-11 23:59:00,7937.52,7938.49,7933.55,7934.57,0.02553625,202.64958362,7935.761265700001,2020-03-11,23:59:00
2020-03-12 23:59:00,4860.0,4946.26,4830.74,4841.67,65.04838066,318452.90394,4895.6315392,2020-03-12,23:59:00
2020-03-13 23:59:00,5631.45,5642.78,5602.7,5622.74,7.82207891,43945.92388,5618.1897914,2020-03-13,23:59:00
2020-03-14 23:59:00,5161.37,5182.01,5156.85,5169.37,1.27717959,6607.397404,5173.4285888,2020-03-14,23:59:00
2020-03-15 23:59:00,5360.09,5360.09,5343.64,5343.64,1.03038206,5520.4862064,5357.708000500001,2020-03-15,23:59:00
2020-03-16 23:59:00,5020.19,5037.8,5020.19,5033.42,0.28925700000000004,1455.0840145,5030.419365899999,2020-03-16,23:59:00
2020-03-17 23:59:00,5358.75,5363.37,5323.71,5324.99,217.64630125,1159839.8487,5329.0124485,2020-03-17,23:59:00
2020-03-18 23:59:00,5405.88,5414.85,5400.65,5406.92,2.91282739,15750.69257,5407.355280899999,2020-03-18,23:59:00
2020-03-19 23:59:00,6189.75,6189.75,6181.17,6181.18,3.36809202,20831.739763999998,6185.0269056,2020-03-19,23:59:00
2020-03-20 23:59:00,6223.78,6230.79,6196.39,6210.14,2.49269452,15485.018915999999,6212.1606926,2020-03-20,23:59:00
2020-03-21 23:59:00,6186.17,6187.78,6186.17,6187.78,1.19408144,7388.685743999999,6187.7569624,2020-03-21,23:59:00
